otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
735703.560006829,114.193166666667,44.5458333333333,0.16,2.32,,C,141326,0.17,2.3,3.1
735703.570800926,114.103333333333,44.5003333333333,0.08,1.52,,D,141341,0.13,2.6,3
735703.635791319,114.083,44.5065,0.16,2.05,,C,141515,0.13,1.7,2.2
735703.640477199,114.172166666667,44.5276666666667,0.16,1.86,,C,141522,0.18,2.3,3.1
735703.646681366,114.109,44.4855,0.04,0,,C,141531,0.19,2.1,2.9
735703.790732639,114.138833333333,44.5173333333333,2.93,0,,C,141858,0.16,1.1,3
735703.794649306,114.114833333333,44.5003333333333,0.12,1.36,,D,141904,0.2,3.8,4.5
735703.815688426,114.136833333333,44.5203333333333,0.08,1.85,,C,141934,0.19,2,2.7
735703.844982755,114.1865,44.559,0.32,0,,D,142016,0.13,2.6,3.6
735703.850057292,114.137833333333,44.5076666666667,0.16,0,,D,142023,0.19,3.1,4.1
735703.856184838,114.152166666667,44.518,0.08,1.7,,C,142032,0.12,2.1,2.7
735703.858362732,114.161166666667,44.5248333333333,0.16,2.34,,C,142035,0.15,1.8,2.6
735703.862040741,114.189666666667,44.5386666666667,1.64,1.87,,C,142041,0.14,1,3.2
735703.862963426,114.169666666667,44.5136666666667,3.45,0,,C,142041,0.12,1.7,4.3
735703.867431713,114.134166666667,44.5415,1.51,0,,D,142048,0.19,3.6,3.9
735703.884880787,114.147666666667,44.5495,0.04,2.15,,C,142113,0.21,2.2,3
735703.900215741,114.161833333333,44.5081666666667,0.02,2.13,,C,142136,0.16,1.9,2.7
735703.913822338,114.132666666667,44.5203333333333,1.37,2.23,,C,142155,0.15,1.8,2.5
735703.915315509,114.133333333333,44.506,2.86,2.35,,C,142155,0.15,1,3.1
735703.928010069,114.110166666667,44.49,0.68,1.94,,C,142216,0.2,2.1,2.8
735703.931952778,114.122833333333,44.5318333333333,0.04,1.69,,C,142221,0.13,2.2,2.9
735703.934687847,114.139333333333,44.5456666666667,0.08,2.16,,C,142225,0.15,2.1,2.8
735703.939293982,114.143833333333,44.5136666666667,0.16,2.39,,C,142231,0.18,1.9,2.7
735703.941014005,114.148333333333,44.5548333333333,0.08,0,,C,142234,0.18,2.2,2.9
735703.947010301,114.1375,44.5218333333333,3.11,0,,C,142243,0.13,1.3,3.2
735703.952961458,114.173666666667,44.5381666666667,1.35,2.02,,C,142252,0.11,1.7,2.5
735703.959762268,114.107666666667,44.5201666666667,0.08,1.86,,C,142301,0.16,2.3,3.2
735703.964526968,114.144333333333,44.516,0.62,2.16,,C,142308,0.19,2,2.9
