otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
736942.125601042,111.4495,42.6145,5.27,1.44,,D,40300,0.21,3.7,20.8
736942.130977199,111.442166666667,42.5405,2.26,0,,D,40308,0.07,1,13.7
736942.133043056,111.453333333333,42.4993333333333,5.08,1.8,,D,40311,0.19,1.9,19.9
736942.147704398,111.417833333333,42.688,5.17,1.3,,D,40332,0.04,2.8,12
736942.154309144,111.464666666667,42.6395,8.64,1.33,,C,40341,0.1,1.3,4.2
736942.159702662,111.383666666667,42.5606666666667,14.35,1.52,,C,40349,0.07,1.7,0.7
736942.182723495,111.439333333333,42.605,5.05,0.79,,D,40423,0.11,3.4,14.8
736942.187289699,111.467333333333,42.5703333333333,5.25,1.2,,D,40429,0.07,1.5,13.1
736942.18951088,111.471666666667,42.6341666666667,4.96,1.19,,D,40432,0.22,1.5,20.7
736942.191364468,111.489666666667,42.6531666666667,12.14,0,,C,40435,0.03,1.3,1.1
736942.195453241,111.461833333333,42.6025,9.44,1.64,,C,40441,0.14,0.9,2.2
736942.203960301,111.4655,42.5693333333333,5.02,1.22,,D,40453,0.2,1.9,18.6
736942.208451852,111.439666666667,42.5688333333333,5,1.37,,D,40459,0.29,1.6,22
736942.225631366,111.463833333333,42.5828333333333,2.72,1.67,,D,40524,0.11,1.7,15.2
736942.230864815,111.389833333333,42.5833333333333,17.3,1.41,,D,40532,0.18,3.8,17.2
736942.246017477,111.435333333333,42.5675,5.03,1.73,,D,40553,0.08,1.2,12.8
736942.261916435,111.469333333333,42.6,5.04,0,,C,40616,0.13,0.7,12.9
736942.271085417,111.4675,42.599,4.99,1.71,,D,40630,0.09,2.5,14
736942.286495833,111.4705,42.5785,5.1,0,,D,40652,0.05,1.2,10.1
736942.288517361,111.475666666667,42.583,5.06,0,,D,40655,0.08,1.7,11.7
736942.29319375,111.466666666667,42.5753333333333,4.91,1.98,,D,40701,0.04,2.5,12.5
736942.314080093,111.4885,42.6178333333333,5.48,1.74,,D,40732,0.06,2.6,12.6
736942.319277546,111.4475,42.5655,5.03,2.2,,D,40739,0.07,1.1,9.3
736942.32151169,111.429833333333,42.5751666666667,10,1.61,,C,40742,0.03,1,2.4
736942.322470718,111.452666666667,42.5966666666667,5.01,1.53,,D,40744,0.12,2.3,14.3
736942.329934722,111.449166666667,42.6485,15.69,0,,C,40754,0.14,1.2,1.9
736942.332578472,110.998666666667,43.0625,6.7,1.34,,D,40758,0.05,2.1,13.1
736942.335223264,111.443166666667,42.678,27.12,0,,C,40801,0.11,2.4,3.3
736942.337022338,111.400666666667,42.5931666666667,6.42,1.96,,D,40804,0.01,2.1,7.4
736942.339107407,111.4635,42.6333333333333,4.92,1.08,,D,40807,0.07,1.7,11.7
736942.340780903,111.478,42.6635,5.03,0.93,,D,40810,0.16,1.4,16.7
736942.344340046,111.484833333333,42.6243333333333,10.81,1.24,,D,40815,0.06,3.5,9.8
736942.35111713,111.462333333333,42.6231666666667,5.37,1.63,,D,40825,0.14,2.1,17.2
736942.359644907,111.497166666667,42.618,5.04,1.74,,D,40837,0.03,2.6,12.1
736942.362632176,111.482166666667,42.6265,10.81,1.48,,D,40841,0.06,3.3,9.3
736942.365600463,111.449333333333,42.5873333333333,5.64,1.23,,D,40846,0.03,1.5,11.9
736942.366816088,111.3795,42.7763333333333,6.67,1.24,,D,40847,0.15,12.6,12.2
736942.367158333,111.473166666667,42.6078333333333,5.02,1.11,,D,40847,0,2.6,12.1
736942.367475926,111.433666666667,42.6936666666667,5.01,1.72,,D,40847,0.14,3.5,15.2
736942.372594676,111.486666666667,42.5966666666667,5.03,2.01,,D,40855,0.03,1.7,9.4
736942.375195602,111.453166666667,42.6015,0.11,1.55,,C,40859,0.14,1.1,2.3
736942.37775787,111.447,42.6346666666667,8.89,1.27,,D,40903,0.08,2.3,7.1
736942.383019213,111.476,42.634,5.29,1.93,,D,40911,0.03,1.8,10
736942.387828819,111.467166666667,42.6348333333333,4.96,1.7,,D,40918,0.13,1.9,12.9
736942.388962731,111.471666666667,42.6488333333333,11.11,1.51,,C,40919,0.18,1.8,1.4
736942.390899074,111.472333333333,42.642,11.28,2.12,,C,40922,0.14,1.5,2
736942.395533333,111.429333333333,42.6786666666667,5.06,1.26,,D,40929,0.09,3,13.1
736942.401091667,111.468,42.6491666666667,10.29,1.36,,C,40937,0.09,1.1,2.7
736942.402323495,111.452,42.6226666666667,5.94,1.56,,D,40939,0.06,4.1,3.8
