otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735969.091255903 -113.958833333333 44.4028333333333 0.16 0 D 200174 0.4 2.5 4.2 0.359
735969.092145023 -114.039166666667 44.4226666666667 5 0 D 200175 0.05 2.6 13.2 4.722
735969.092146065 -114.1455 44.4676666666667 8.51 0 D 200176 0.27 2.9 8.1 7.881
735969.137070949 -114.053666666667 44.3963333333333 5 0 D 200177 0.17 4.7 19 4.722
735969.137065162 -114.212166666667 44.482 16.32 0 D 200178 0.09 1.5 14.7 14.92
735969.168105208 -114.017 44.448 0.06 0 C 200179 0.24 1.7 3 0.287
735969.17481331 -114.154333333333 44.4388333333333 16.27 0 D 200180 0.12 1.4 16 14.81
735969.227956482 -114.067666666667 44.4715 0.02 0 D 200181 0.4 3.2 4.3 0.236
735969.273278588 -114.009 44.406 0.03 0 D 200182 0.34 2.1 2.9 0.251
735969.301822222 -114.040166666667 44.4546666666667 0.08 0 D 200183 0.2 1.7 5.4 0.307
735969.308213657 -113.968 44.449 0.18 0 D 200184 0.12 3.5 11.7 0.389
735969.415955208 -114.0055 44.4498333333333 0.03 0 D 200185 0.19 3 5.8 0.245
735969.551815741 -113.991833333333 44.4636666666667 0.03 0 D 200186 0.31 3.2 4.8 0.261
735969.641349768 -114.034333333333 44.4173333333333 5 0 D 200187 0.02 1.9 12.6 4.735
735969.651304051 -113.792333333333 44.4065 0.06 0 D 200188 0.25 3.7 8.5 0.235
735969.658584838 -114.051333333333 44.3956666666667 4.47 0 D 200189 0.1 5.2 14.1 4.258
735969.711386111 -114.092166666667 44.4625 4.96 0 D 200190 0.09 3.8 13.6 4.674
735969.711524421 -113.351666666667 44.6065 4.51 0 D 200191 3.07 11.1 44 4.261
735969.720036574 -114.073166666667 44.3703333333333 3.99 0 D 200192 0.06 7.5 10.2 3.826
735969.835005671 -112.958 44.3741666666667 8.26 0 D 200193 1.77 34.9 50.7 7.601
735969.898975347 -113.8975 44.416 5 0 D 200194 0.16 2.5 18.5 4.727
735969.900701852 -114.084 44.4336666666667 4.81 0 D 200195 0.36 7.7 11.1 4.539
735969.900723727 -114.054 44.4865 0.02 0 D 200196 0.13 6.1 8.6 0.185
735969.926235417 -113.1485 43.8435 6.51 0 D 200197 11.68 77.2 61.9 6.052
735970.004528356 -114.042833333333 44.4073333333333 8.95 0 C 200198 0.07 1.8 1.3 8.277
