otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr,depth_FSL
736952.319312269,-111.443166666667,42.5143333333333,5,0,,C,200988,0.34,1.2,30.7,4.703
736952.321811343,-111.432833333333,42.4978333333333,5,0,,C,200989,0.17,1.1,19.1,4.703
736952.326251042,-111.39,42.5448333333333,5,0,,C,200990,0.31,1.3,28.7,4.711
736952.32658669,-111.468333333333,42.5871666666667,5,0,,C,200991,0.15,0.7,17.6,4.709
736952.327392477,-111.485833333333,42.5548333333333,5,0,,C,200992,0.41,1.3,36,4.706
736952.336598843,-111.421166666667,42.5103333333333,5,0,,C,200993,0.11,0.6,15.6,4.707
736952.337582176,-111.4205,42.5128333333333,5,0,,C,200994,0.13,0.6,16.8,4.707
736952.337740625,-111.460666666667,42.7248333333333,5,0,,D,200995,0.71,2.4,60.5,4.707
736952.338891204,-110.929833333333,42.2686666666667,5,0,,D,200996,2.51,11.9,99,4.707
736952.343726852,-111.861333333333,42.517,5,0,,D,200997,1.41,7.3,99,4.707
736952.344112847,-111.420666666667,42.5078333333333,5,0,,D,200998,0.21,1.1,21.8,4.712
736952.346096991,-111.445166666667,42.5755,5,0,,C,200999,0.15,0.6,17.5,4.711
736952.346780324,-111.429333333333,42.5196666666667,5,0,,C,201000,0.23,0.7,23.2,4.707
736952.347901389,-111.482833333333,42.5636666666667,5,0,,C,201001,0.44,1.1,38.7,4.711
736952.354449653,-111.519,42.5463333333333,5,0,,D,201002,0.38,1.2,34.4,4.711
736952.359287153,-111.490833333333,42.5291666666667,5,0,,D,201003,0.2,0.9,20.7,4.707
736952.365101042,-111.416,42.5201666666667,5,0,,D,201004,0.14,0.9,17.1,4.712
736952.366556713,-111.790166666667,42.8636666666667,5,0,,D,201005,2.11,58.1,99,4.705
736952.367468519,-111.536166666667,42.4901666666667,5,0,,D,201006,0.09,1.7,14.7,4.711
736952.367626505,-111.031833333333,43.0421666666667,5,0,,D,201007,2.34,6.9,99,4.71
736952.383951852,-111.428333333333,42.5725,5,0,,C,201008,0.1,0.6,15,4.709
736952.390343171,-111.414,42.5111666666667,5,0,,C,201009,0.18,1,19.4,4.707
736952.393058102,-111.242333333333,42.3445,5,0,,D,201010,1.63,69.1,99,4.708
736952.393973727,-111.386833333333,42.6891666666667,5,0,,D,201011,0.55,2.3,47.2,4.707
736952.4170625,-111.435,42.5928333333333,5,0,,C,201012,0.09,0.7,14.6,4.71
736952.420461458,-111.486333333333,42.569,5,0,,C,201013,0.43,1.1,38.1,4.703
736952.426011574,-111.431833333333,42.503,5,0,,C,201014,0.15,0.5,17.4,4.707
736952.433347801,-112.2205,42.79,5,0,,D,201015,5.13,27.1,99,4.702
736952.436859259,-111.500166666667,42.5941666666667,5,0,,C,201016,0.16,0.5,18.4,4.703
736952.439161458,-111.4245,42.5071666666667,5,0,,D,201017,0.22,0.7,22.1,4.706
736952.442827083,-111.4505,42.5308333333333,5,0,,C,201018,0.24,0.6,23.6,4.711
736952.444789699,-111.432,42.4935,5,0,,C,201019,0.26,0.8,24.9,4.703
736952.44672963,-111.423166666667,42.5695,5,0,,C,201020,0.06,0.6,13.5,4.709
736952.447715278,-111.378833333333,42.5856666666667,5,0,,C,201021,0.54,1.5,46.8,4.711
736952.448487037,-111.415,42.5395,5,0,,C,201022,0.29,0.9,27.6,4.711
736952.451449537,-111.43,42.5131666666667,5,0,,C,201023,0.14,0.6,17.1,4.707
736952.454330324,-111.389,42.2811666666667,5,0,,D,201024,0.04,0.6,13,4.711
736952.45983912,-111.443166666667,42.5093333333333,5,0,,C,201025,0.21,0.7,21.5,4.71
736952.465554167,-111.418,42.6411666666667,5,0,,C,201026,0.2,0.7,21,4.714
736952.475754745,-111.438666666667,42.5018333333333,5,0,,C,201027,0.17,0.6,19,4.707
736952.492226157,-111.441666666667,42.5545,5,0,,C,201028,0.15,0.9,17.7,4.703
736952.493650347,-111.3685,42.627,5,0,,C,201029,0.21,0.8,21.6,4.711
736952.496327894,-111.445666666667,42.5621666666667,5,0,,C,201030,0.18,0.5,19.6,4.711
736952.51956875,-111.511,41.9171666666667,42,0,,D,201031,3.95,18.7,99,38.007
