otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735967.983362153 -114.077333333333 44.3398333333333 5 0 D 200095 0.05 4.2 13.1 4.722
735967.983372454 -114.0785 44.4963333333333 4.93 0 D 200096 0.34 2.5 3.1 4.67
735967.985232639 -114.0875 44.5283333333333 2.05 0 C 200097 0.02 1.9 1.7 2.077
735967.985865857 -114.086666666667 44.3973333333333 5 0 D 200098 0.04 1.6 13 4.735
735967.985871296 -114.122166666667 44.4553333333333 5.32 0 C 200099 0.14 1.4 2.6 4.955
735967.987650116 -113.893333333333 44.4763333333333 5 0 D 200100 0.35 2.3 31.4 4.742
735968.007262269 -113.984833333333 44.468 3.15 0 C 200101 0.08 2 1.5 3.068
735968.016535417 -114.046166666667 44.412 5 0 D 200102 0.15 1.7 17.6 4.724
735968.049075116 -114.0315 44.4178333333333 5 0 D 200103 0.16 2.3 18.3 4.722
735968.049062153 -114.159166666667 44.4383333333333 5 0 D 200104 0.28 2.3 26.1 4.667
735968.051419792 -114.017166666667 44.4545 4.12 0 D 200105 0.34 2 3 3.941
735968.059193287 -114.085166666667 44.4363333333333 5 0 D 200106 0.41 2.6 36.7 4.752
735968.059194097 -114.0445 44.4273333333333 6.21 0 D 200107 0.1 3.3 1.7 5.746
735968.076757755 -114.050166666667 44.4333333333333 5 0 D 200108 0.27 1.8 26 4.722
735968.077451505 -114.073166666667 44.433 5 0 D 200109 0.26 2.7 24.7 4.707
735968.080515972 -114.061666666667 44.453 5 0 D 200110 0.22 1.6 22.2 4.735
735968.080504861 -114.092333333333 44.4303333333333 0.16 0 D 200111 0.33 3.7 6.3 0.345
735968.081551852 -114.052 44.4355 6.3 0 D 200112 0.36 1.5 2.1 5.894
735968.099335417 -114.190166666667 44.4306666666667 4.15 0 C 200113 0.02 2.2 1.1 3.931
735968.109009722 -112.913833333333 44.4731666666667 5 0 D 200114 0.24 2.5 23.8 4.684
735968.113517824 -111.090833333333 43.7485 5.23 0 C 200115 0.13 1.3 0.9 4.874
735968.121110532 -114.0275 44.4605 5 0 D 200116 0.28 1.8 26.3 4.732
735968.12399838 -114.060833333333 44.4181666666667 5 0 D 200117 0.07 1.2 13.8 4.722
735968.127720718 -114.034166666667 44.4223333333333 5 0 D 200118 0.37 2 33.5 4.722
735968.171555903 -114.106166666667 44.4453333333333 4.79 0 D 200119 0.39 2.2 2.7 4.543
735968.17596412 -114.005333333333 44.4143333333333 5 0 D 200120 0.11 4.7 15.7 4.722
735968.17596169 -114.042833333333 44.4628333333333 5 0 D 200121 0.21 1.5 21.8 4.732
735968.177835648 -113.973333333333 44.4436666666667 5 0 D 200122 0.2 2 20.7 4.714
735968.179334954 -114.003333333333 44.434 5 0 D 200123 0.29 1.9 27.5 4.722
735968.186031019 -114.013666666667 44.3951666666667 5 0 D 200124 0.09 1.6 14.4 4.718
735968.214190278 -114.050333333333 44.4715 5 0 D 200125 0.52 4.2 45.1 4.732
735968.230916667 -114.184166666667 44.436 5 0 D 200126 0.27 3.7 25.7 4.718
735968.260960417 -114.140666666667 44.4411666666667 5 0 D 200127 0.12 1.6 16 4.732
735968.268616898 -113.9145 44.463 6.31 0 D 200128 0 8.1 9.5 5.846
735968.274582176 -114.124333333333 44.443 3.02 0 D 200129 0.42 2.7 5.6 2.914
735968.28580544 -113.976333333333 44.4275 5 0 D 200130 0.1 1.5 14.9 4.725
735968.288823032 -113.980833333333 44.4308333333333 5 0 D 200131 0.09 2.2 14.8 4.722
735968.299565393 -114.045 44.3905 5 0 D 200132 0.05 3.1 13.2 4.722
735968.299545718 -114.197 44.471 5 0 D 200133 0.01 3.5 12.6 4.732
735968.310890162 -114.010333333333 44.7843333333333 4.83 0 D 200134 0.21 19.6 8.3 4.513
735968.315430556 -114.090666666667 44.4513333333333 5 0 D 200135 0.43 2 37.8 4.718
735968.321016667 -113.984833333333 44.4313333333333 5 0 D 200136 0.17 2.6 19.2 4.735
735968.327628009 -114.028 44.4506666666667 5 0 D 200137 0.24 1.4 23.6 4.724
735968.33202338 -114.0785 44.4655 0.15 0 C 200138 0.05 2 2 0.368
735968.334636343 -113.991 44.4343333333333 5 0 D 200139 0.12 1.4 16 4.722
735968.336727894 -114.0595 44.4761666666667 5 0 D 200140 0.27 1.8 25.5 4.732
735968.342637037 -112.833833333333 44.8481666666667 5 0 D 200141 4.35 99 99 4.723
735968.346123264 -114.004333333333 44.4626666666667 4.01 0 C 200142 0.02 1.2 1.5 3.842
735968.419349306 -114.028 44.4571666666667 5 0 D 200143 0.22 1.4 21.9 4.722
735968.429961343 -114.041333333333 44.4548333333333 2.99 0 C 200144 0.09 1.7 3.6 2.858
735968.449966204 -113.998333333333 44.455 5 0 D 200145 0.26 3.1 25.2 4.718
735968.449929167 -114.197833333333 44.4656666666667 6.22 0 D 200146 0.23 2.8 4.3 5.75
