time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-17T14:28:12.390Z,42.5793333,-111.429,6.3,2.24,ml,11,104,0.1116,0.19,uu,uu60268792,2018-02-20T19:30:16.180Z,"11 km NNW of Georgetown, Idaho",earthquake,0.48,1.35,0.265,2,reviewed,uu,uu
2018-02-16T00:36:01.980Z,42.6151667,-111.4451667,-3.32,2.39,ml,13,98,0.1493,0.28,uu,uu60268392,2018-02-16T19:38:24.720Z,"13 km ESE of Soda Springs, Idaho",earthquake,0.91,3.13,0.269,3,reviewed,uu,uu
2018-02-08T19:04:29.390Z,42.5902,-111.5022,11.13,2.4,ml,,47,0.099,0.83,us,us2000cz0f,2018-05-03T22:15:04.040Z,"11 km SE of Soda Springs, Idaho",earthquake,2.9,9.4,0.042,76,reviewed,us,us
2018-02-07T02:19:57.610Z,42.5453333,-111.4078333,1.59,2.15,ml,11,112,0.07425,0.13,uu,uu60267182,2018-02-07T16:42:10.760Z,"7 km NNW of Georgetown, Idaho",earthquake,0.56,1.52,0.013,2,reviewed,uu,uu
2018-01-29T22:53:35.530Z,42.5676667,-111.4253333,5.86,2.32,ml,16,105,0.09987,0.15,uu,uu60266302,2018-01-29T23:32:40.841Z,"10 km NNW of Georgetown, Idaho",earthquake,0.42,1.16,0.109,4,reviewed,uu,uu
2018-01-29T00:53:29.180Z,42.5698,-111.453,5,2.6,ml,,57,0.111,1.09,us,us2000cqt1,2018-04-25T01:39:34.040Z,"11 km NW of Georgetown, Idaho",earthquake,1.5,2,0.037,94,reviewed,us,us
2018-01-28T23:36:12.660Z,42.5633333,-111.421,5.18,2.08,ml,13,107,0.09461,0.14,uu,uu60266257,2018-01-29T19:09:38.950Z,"9 km NNW of Georgetown, Idaho",earthquake,0.56,1.58,0.044,2,reviewed,uu,uu
2018-01-28T08:28:19.820Z,42.5511667,-111.4515,6.88,2.25,ml,17,70,0.09604,0.17,uu,uu60266192,2018-01-29T15:50:36.850Z,"10 km NW of Georgetown, Idaho",earthquake,0.52,0.58,0.223,6,reviewed,uu,uu
2018-01-27T01:41:06.790Z,42.5689,-111.4379,9.23,2.6,ml,,63,0.105,1.03,us,us2000cq83,2018-04-20T07:05:28.040Z,"11 km NNW of Georgetown, Idaho",earthquake,1.4,7.9,0.053,46,reviewed,us,us
2018-01-26T18:50:22.190Z,42.5626667,-111.431,6.88,2.41,ml,15,102,0.09724,0.11,uu,uu60266047,2018-01-29T16:36:02.030Z,"10 km NNW of Georgetown, Idaho",earthquake,0.58,0.91,0.056,2,reviewed,uu,uu
2018-01-26T05:40:25.640Z,42.5405,-111.3951,10,3.3,ml,,58,0.066,0.43,us,us2000cpmq,2018-04-20T07:05:25.040Z,"6 km NNW of Georgetown, Idaho",earthquake,1.9,1.9,0.055,44,reviewed,us,us
2018-01-26T05:34:01.510Z,42.563,-111.4306667,5.11,2.03,ml,18,72,0.09742,0.2,uu,uu60266012,2018-01-26T21:13:49.790Z,"10 km NNW of Georgetown, Idaho",earthquake,0.55,1.03,0.113,3,reviewed,uu,uu
2018-01-26T03:35:53.700Z,42.5618,-111.4591,10,3.1,ml,,53,0.107,0.76,us,us2000cpty,2018-04-20T07:05:24.040Z,"11 km NW of Georgetown, Idaho",earthquake,1.7,2,0.047,60,reviewed,us,us
2018-01-26T03:32:08.570Z,42.5327,-111.3893,10,4.4,mwr,,41,0.057,0.73,us,us2000cpkg,2018-07-01T18:40:12.795Z,"5 km NNW of Georgetown, Idaho",earthquake,3.3,2,0.034,82,reviewed,us,us
2018-01-19T17:33:04.280Z,42.5721667,-111.4246667,2.15,2.03,ml,9,106,0.1038,0.27,uu,uu60265442,2018-01-19T18:00:06.340Z,"10 km NNW of Georgetown, Idaho",earthquake,0.88,3.23,0.054,3,reviewed,uu,uu
2018-01-16T05:00:26.420Z,42.591,-111.466,5.09,2,ml,,76,0.12,0.43,us,us2000cjup,2018-04-10T01:11:41.040Z,"13 km ESE of Soda Springs, Idaho",earthquake,1.6,7.2,0.052,48,reviewed,us,us
2018-01-10T17:58:43.860Z,42.6087,-111.4366,14.24,2.2,ml,,70,0.132,0.83,us,us1000c37q,2018-04-03T01:40:25.040Z,"14 km ESE of Soda Springs, Idaho",earthquake,1.4,8.6,0.048,56,reviewed,us,us
2018-01-07T07:45:30.230Z,42.5793333,-111.4215,5.24,2.36,ml,13,108,0.1096,0.09,uu,uu60264482,2018-01-08T17:59:48.500Z,"11 km NNW of Georgetown, Idaho",earthquake,0.45,0.89,0.166,6,reviewed,uu,uu
2018-01-04T18:46:03.530Z,42.6683333,-111.4211667,0.63,2.23,ml,11,116,0.1348,0.05,uu,uu60264062,2018-01-04T20:23:04.440Z,"15 km E of Soda Springs, Idaho",earthquake,0.43,1.61,0.212,3,reviewed,uu,uu
2017-12-20T04:30:38.730Z,42.608,-111.4376,5,2,ml,,72,0.131,0.42,us,us1000btrk,2018-03-14T00:58:23.040Z,"14 km ESE of Soda Springs, Idaho",earthquake,0.8,2,0.055,44,reviewed,us,us
2017-12-19T05:03:54.920Z,42.6548333,-111.4513333,0.57,2.09,ml,11,139,0.2813,0.27,uu,uu60262732,2017-12-19T16:31:37.200Z,"12 km E of Soda Springs, Idaho",earthquake,1.04,3.98,0.351,2,reviewed,uu,uu
2017-12-18T10:09:43.560Z,42.5903,-111.4294,10,2.1,ml,,78,0.121,0.33,us,us2000c5jl,2018-03-14T00:58:22.040Z,"12 km NNW of Georgetown, Idaho",earthquake,1.1,2,0.055,44,reviewed,us,us
2017-12-16T21:18:22.710Z,42.5782,-111.4314,9.48,2.5,ml,,63,0.111,0.47,us,us2000c5b0,2018-03-06T00:49:45.040Z,"southern Idaho",earthquake,3,8.5,0.056,42,reviewed,us,us
2017-12-14T03:06:53.830Z,42.6056667,-111.4491667,4.55,2.31,ml,15,97,0.1246,0.2,uu,uu60262187,2017-12-14T17:54:01.940Z,"13 km ESE of Soda Springs, Idaho",earthquake,0.36,1.47,0.158,3,reviewed,uu,uu
2017-12-14T00:51:09.250Z,42.5873333,-111.4333333,5.91,2.28,ml,12,133,0.3032,0.16,uu,uu60262182,2017-12-14T19:00:49.710Z,"12 km NNW of Georgetown, Idaho",earthquake,1.18,1.95,0.235,2,reviewed,uu,uu
2017-12-13T15:52:36.540Z,42.5708333,-111.4236667,9.61,2.04,ml,12,137,0.1023,0.24,uu,uu60262112,2017-12-14T04:47:33.631Z,"10 km NNW of Georgetown, Idaho",earthquake,1.8,1.47,0.014,2,reviewed,uu,uu
2017-12-13T15:51:01.370Z,42.5859,-111.4245,7.22,2.3,ml,,78,0.116,0.31,us,us2000c3w9,2018-03-06T00:49:39.040Z,"12 km NNW of Georgetown, Idaho",earthquake,1.1,2.5,0.062,34,reviewed,us,us
2017-12-03T01:04:15.050Z,42.5868333,-111.4181667,4.07,2,ml,19,135,0.2946,0.18,uu,uu60260682,2017-12-03T23:15:17.280Z,"12 km NNW of Georgetown, Idaho",earthquake,0.85,4.71,0.049,2,reviewed,uu,uu
2017-11-30T20:53:51.730Z,42.5934,-111.4042,5.7,3.2,ml,,40,0.159,0.6,us,us1000bjjy,2018-02-20T09:06:09.040Z,"12 km NNW of Georgetown, Idaho",earthquake,1.5,7.1,0.037,98,reviewed,us,us
